Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Website,URL
Abbotsford,Unknown,9.30,6.00,443 Great North Rd,Abbotsford,New South Wales,2046,Unknown,http://www.abbotsfordpc.org,https://preskey.org.au/index.php/new-south-wales-act/item/abbotsford-five-dock?category_id=48
Albion Park,Unknown,9.45,6.00,250 Tongarra Rd,Albion Park,New South Wales,2527,Unknown,http://albionparkpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/albion-park?category_id=48
Albury,Unknown,See sidebar for Service times,Unknown,402 Wagga Rd,Lavington,New South Wales,2541,Unknown,http://www.alburychurch.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/albury?category_id=48
Annandale-Leichhardt,Unknown,10.00 (Sunday School each Sunday at 10),Unknown,Cnr Johnston & Collins Sts,Annandale,New South Wales,2038,Unknown,http://hunterbaillie.com,https://preskey.org.au/index.php/new-south-wales-act/item/annandale-leichhardt?category_id=48
"Arabic, Evangelical",Unknown,Unknown,Unknown,236 Targo Rd,Toongabbie,New South Wales,2146,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/arabic-evangelical?category_id=48
"Armidale, St Paul's",Unknown,9.30,Unknown,137 Faulkner St,Armidale,New South Wales,2350,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/armidale-st-paul-s?category_id=48
Ashfield-Petersham,Unknown,"Ashfield: 9:00 am, 10:15am, 6:00 pm & Mandarin 10:00 am; Petersham, 10:00 am.",Unknown,Cnr Liverpool Rd & Knox St,Ashfield,New South Wales,2131,Unknown,http://www.ashfieldpresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/ashfield-petersham?category_id=48
Ashford,Unknown,9.00,Unknown,Jubilee St,Ashford,New South Wales,2361,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/ashford?category_id=48
"Auburn, (NSW)",Unknown,10.00,Unknown,29 Queen St,Auburn,New South Wales,2144,Unknown,http://auburnpresbyterianchurch.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/auburn-nsw?category_id=48
Balldale,Unknown,Unknown,6.00 (2nd Sun),Kavanagh St,Balldale,New South Wales,2646,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/balldale?category_id=48
Ballina,Unknown,9:03am,Unknown,Corner of Cherry & CraneSts,Ballina,New South Wales,2478,Unknown,http://www.ballinachurch.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/ballina?category_id=48
Balmain,Unknown,10.00,Unknown,7 Campbell St,Balmain,New South Wales,2041,Unknown,http://campbellstreet.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/balmain?category_id=48
Balranald,Unknown,10.00,Unknown,Sturt Hwy,Balranald,New South Wales,2715,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/balranald?category_id=48
Bangalow,Unknown,9.30,Unknown,Market St,Bangalow,New South Wales,2479,Unknown,http://www.bangalowchurch.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/bangalow?category_id=48
Batemans Bay,Unknown,10.00,Unknown,16 Melaleuca Cres,Batemans Bay,New South Wales,2536,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/batemans-bay?category_id=48
Bathurst,Unknown,8:30 AM; 10.30 AM,3:00 PM; 6:00 PM,Cnr Howick & George Sts,Bathurst,New South Wales,2795,Unknown,http://bathurstpresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/bathurst?category_id=48
Bay and Basin,Unknown,9.30,Unknown,Community Centre,Shoalhaven Point,New South Wales,2540,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bay-and-basin?category_id=48
Beacon Hill,Unknown,9.00,6.00,244 Warringah Rd,Beacon Hill,New South Wales,2100,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/warringah-christian-church?category_id=48
Beecroft,Unknown,8.45 & 10.30,Unknown,3 Mary St,Beecroft,New South Wales,2119,Unknown,http://www.beecroftpresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/beecroft?category_id=48
Ben Lomond,Unknown,Unknown,2.00 (1st Sun Even Months),Wandsworth Rd,Ben Lomond,New South Wales,2365,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/ben-lomond?category_id=48
"Beresfield, (St David's)",Unknown,7.45,Unknown,Beresford St,Beresfield,New South Wales,2322,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/beresfield-st-david-s?category_id=48
Berry,Unknown,10.00,Family Service: Last Sunday of each month 5 pm,Cnr Alexandra St & Victoria St,Berry,New South Wales,2535,Unknown,http://www.berrypresbyterianchurch.net.au,https://preskey.org.au/index.php/new-south-wales-act/item/berry?category_id=48
Bexley,Unknown,9.30 (Bexley),5.30 (Rockdale),269 Forest Rd,Bexley,New South Wales,2207,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bexley?category_id=48
Bingara,Unknown,10.00,Unknown,45 Cunningham St,Bingara,New South Wales,2404,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bingara?category_id=48
Black Mountain,Unknown,Unknown,3pm 2nd Sunday even months,Black Mountain Baptist church,Black Mountain,New South Wales,2365,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/black-mountain?category_id=48
Blackheath,Unknown,"11.15 1st., 3rd & 5th Sundays",Unknown,123-125 Wentworth St,Blackheath,New South Wales,2785,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/blackheath?category_id=48
Blacktown East,Unknown,9.30,6.00,Cnr Heffron Rd & Gallop Grove,Lalor Park,New South Wales,2147,Unknown,http://www.blacktowneastpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/blacktown-east?category_id=48
Blaxland,Unknown,8.45 & 10.15,Unknown,15A Wilson Way,Blaxland,New South Wales,2774,Unknown,http://blaxlandpresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/blaxland?category_id=48
Blayney,Unknown,Unknown,Unknown,Adelaide St,Blayney,New South Wales,2799,Unknown,http://orangepresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/blayney?category_id=48
Bomaderry,Unknown,8.00 (4th Sun),Unknown,Meroo St,Bomaderry,New South Wales,2541,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bomaderry?category_id=48
Bondi,Unknown,10.00,7.00,Cnr Castlefield & Miller Sts,Bondi,New South Wales,2026,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bondi?category_id=48
Bonnyrigg Christian PC,Unknown,Unknown,Unknown,14 - 16 Bibby's Place,Bonnyrigg,New South Wales,2177,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/bonnyrigg-christian-pc?category_id=48
Botany-Mascot,Unknown,10.30,Unknown,768 Botany Rd,Mascot,New South Wales,2020,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/botany-mascot?category_id=48
Bowenfels,Unknown,10.00,Unknown,15 Mudgee St,Bowenfels,New South Wales,2790,Unknown,http://bowenfelspresbyterianparish.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/bowenfels?category_id=48
"Bowral, St Andrew's",Unknown,9.30,Unknown,10-12 Bendooley St,Bowral,New South Wales,2576,Unknown,https://www.facebook.com/BowralPresbyterianChurch/,https://preskey.org.au/index.php/new-south-wales-act/item/bowral-st-andrew-s?category_id=48
"Burwood, St James'",Unknown,9.30,Unknown,46 - 48 Belmore St,Burwood,New South Wales,2134,Unknown,http://www.burwoodbpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/burwood-st-james?category_id=48
