Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Email,Website,Minister/Pastor,URL,Presbytery,pcharge_status,Latitude,Longitude,Attempt,Lat_adj,Lon_adj
Abbotsford,Unknown,9.30,6.00,443 Great North Rd,Abbotsford,New South Wales,2046,Unknown,Unknown,http://www.abbotsfordpc.org,Peter Morphew,https://preskey.org.au/index.php/new-south-wales-act/item/abbotsford-five-dock?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.85359,151.12948,0,-33.8505529,151.129759
Albion Park,Unknown,9.45,6.00,250 Tongarra Rd,Albion Park,New South Wales,2527,Unknown,Unknown,http://albionparkpc.org.au,Gordon Coleman,https://preskey.org.au/index.php/new-south-wales-act/item/albion-park?category_id=48,Presbytery of the Illawarra,Full (Sanctioned) Charge,-34.57152,150.76165,0,-34.57164845,150.76163087785403
Albury,Unknown,See sidebar for Service times,Unknown,402 Wagga Rd,Lavington,New South Wales,2541,Unknown,Unknown,http://www.alburychurch.org.au,David Hayes,https://preskey.org.au/index.php/new-south-wales-act/item/albury?category_id=48,Presbytery of Southern Rivers,Full (Sanctioned) Charge,-36.04703,146.94186,0,-36.033765,146.9725506
Annandale-Leichhardt,Unknown,10.00 (Sunday School each Sunday at 10),Unknown,Cnr Johnston & Collins Sts,Annandale,New South Wales,2038,Unknown,Unknown,http://hunterbaillie.com,Thomas Wall,https://preskey.org.au/index.php/new-south-wales-act/item/annandale-leichhardt?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.88363,151.1697,0,-33.881224,151.1709976
"Arabic, Evangelical",Unknown,Unknown,Unknown,236 Targo Rd,Toongabbie,New South Wales,2146,Unknown,Unknown,Unknown,Nabil Zakhary,https://preskey.org.au/index.php/new-south-wales-act/item/arabic-evangelical?category_id=48,unknown,Home Mission Charge,-33.80009,150.93748,0,-33.7892149,150.9506546
"Armidale, St Paul's",Unknown,9.30,Unknown,137 Faulkner St,Armidale,New South Wales,2350,Unknown,Unknown,Unknown,David Seaman,https://preskey.org.au/index.php/new-south-wales-act/item/armidale-st-paul-s?category_id=48,Presbytery of North Inland NSW,Full (Sanctioned) Charge,-30.51582,151.66673,0,-30.5144881,151.6656564
Ashfield-Petersham,Unknown,"Ashfield: 9:00 am, 10:15am, 6:00 pm & Mandarin 10:00 am; Petersham, 10:00 am.",Unknown,Cnr Liverpool Rd & Knox St,Ashfield,New South Wales,2131,Unknown,Unknown,http://www.ashfieldpresbyterian.org.au,David Balzer,https://preskey.org.au/index.php/new-south-wales-act/item/ashfield-petersham?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.88794,151.12333,0,-33.8894781,151.1274125
Ashford,Unknown,9.00,Unknown,Jubilee St,Ashford,New South Wales,2361,Unknown,Unknown,Unknown,Peter Barber,https://preskey.org.au/index.php/new-south-wales-act/item/ashford?category_id=48,Presbytery of North Inland NSW,Home Mission Charge,-29.32091,151.09178,0,-29.3210336,151.0916829
"Auburn, (NSW)",Unknown,10.00,Unknown,29 Queen St,Auburn,New South Wales,2144,Unknown,Unknown,http://auburnpresbyterianchurch.com.au,Tim Lee,https://preskey.org.au/index.php/new-south-wales-act/item/auburn-nsw?category_id=48,Presbytery of Western Sydney,Home Mission Charge,-33.85233,151.03353,0,-33.8545702,151.0255673
Balldale,Unknown,Unknown,6.00 (2nd Sun),Kavanagh St,Balldale,New South Wales,2646,Unknown,Unknown,Unknown,Richard Keith,https://preskey.org.au/index.php/new-south-wales-act/item/balldale?category_id=48,Presbytery of Southern Rivers,Full (Sanctioned) Charge,-35.84722,146.51872,0,-35.8475986,146.5179511
